34.701767,135.506513,0,1752137062000
34.701433,135.507751,0,1752137099715
34.701422,135.507891,0,1752137099742
34.701884,135.506073,0,1752137100144
34.701759,135.506186,0,1752137102793
34.701706,135.506232,0,1752137103743
34.701685,135.506297,0,1752137104693
34.701699,135.506337,0,1752137105643
34.701704,135.506364,0,1752137106593
34.701699,135.506409,0,1752137107543
34.701658,135.506424,0,1752137108493
34.701630,135.506421,0,1752137109443
34.701616,135.506410,0,1752137110393
34.701617,135.506431,0,1752137111344
34.701595,135.506458,0,1752137112294
34.701562,135.506455,0,1752137113244
34.701562,135.506455,0,1752137114194
34.701536,135.506465,0,1752137115144
34.701518,135.506463,0,1752137116093
34.701498,135.506461,0,1752137117043
34.701483,135.506469,0,1752137117999
34.701464,135.506468,0,1752137118999
34.701453,135.506477,0,1752137119999
34.701438,135.506487,0,1752137120999
34.701425,135.506487,0,1752137121999
34.701405,135.506496,0,1752137122999
34.701383,135.506494,0,1752137123999
34.701358,135.506499,0,1752137124999
34.701339,135.506508,0,1752137125999
34.701312,135.506520,0,1752137126999
34.701289,135.506526,0,1752137127999
34.701274,135.506532,0,1752137128999
34.701261,135.506542,0,1752137129999
34.701078,135.506708,0,1752137152592
34.701100,135.506680,0,1752137154305
34.701128,135.506692,0,1752137155305
34.701132,135.506668,0,1752137156255
34.701109,135.506652,0,1752137157205
34.701084,135.506664,0,1752137158155
34.701055,135.506722,0,1752137159105
34.701006,135.506718,0,1752137160055
34.700961,135.506728,0,1752137161005
34.700941,135.506740,0,1752137161998
34.700934,135.506740,0,1752137162998
34.700919,135.506739,0,1752137163998
34.700897,135.506743,0,1752137164998
34.700882,135.506740,0,1752137165998
34.700874,135.506742,0,1752137166998
34.700867,135.506743,0,1752137167998
34.700853,135.506737,0,1752137168998
34.700836,135.506731,0,1752137169998
34.700828,135.506734,0,1752137170998
34.700819,135.506737,0,1752137171998
34.700810,135.506740,0,1752137172998
34.700803,135.506744,0,1752137173998
34.700792,135.506739,0,1752137174998
34.700793,135.506751,0,1752137175998
34.700782,135.506758,0,1752137176998
34.700776,135.506765,0,1752137177998
34.700769,135.506771,0,1752137178998
34.700761,135.506778,0,1752137179998
34.700757,135.506782,0,1752137180998
34.700756,135.506787,0,1752137181998
34.700743,135.506790,0,1752137182998
34.700722,135.506776,0,1752137183998
34.700711,135.506776,0,1752137184998
34.700704,135.506780,0,1752137185998
34.700694,135.506790,0,1752137186998
34.700683,135.506790,0,1752137187998
34.700673,135.506796,0,1752137188998
34.700670,135.506795,0,1752137189998
34.700644,135.506794,0,1752137190998
34.700618,135.506807,0,1752137191998
34.700597,135.506811,0,1752137192998
34.700582,135.506819,0,1752137193998
34.700569,135.506832,0,1752137194998
34.700558,135.506843,0,1752137195998
34.700546,135.506847,0,1752137196998
34.700535,135.506850,0,1752137197998
34.700528,135.506858,0,1752137198998
34.700524,135.506866,0,1752137199998
34.700510,135.506874,0,1752137200998
34.700495,135.506876,0,1752137201998
34.700483,135.506890,0,1752137202998
34.700471,135.506897,0,1752137203998
34.700460,135.506905,0,1752137204998
34.700451,135.506901,0,1752137205998
34.700436,135.506913,0,1752137206998
34.700433,135.506922,0,1752137207998
34.700423,135.506933,0,1752137208998
34.700413,135.506937,0,1752137209998
34.700414,135.506941,0,1752137210998
34.700412,135.506949,0,1752137211998
34.700403,135.506951,0,1752137212998
34.700388,135.506958,0,1752137213998
34.700374,135.506957,0,1752137214998
34.700361,135.506959,0,1752137215998
34.700352,135.506962,0,1752137216998
34.700337,135.506963,0,1752137217998
34.700320,135.506963,0,1752137218998
34.700316,135.506960,0,1752137219998
34.700306,135.506960,0,1752137220998
34.700296,135.506962,0,1752137221998
